9.1061864875173332027714687821649e-01	3.3333333333333333333333333333386e-01
-2.0418029523389085924001535318879e-02	2.0000000000000000000000000000063e-01
2.2701675412970959904111227452471e-01	1.4285714285714285714285714285692e-01
7.897744135249471874995915174722e-02	1.1111111111111111111111111111129e-01
1.0317831027147171344698529357572e-01	9.0909090909090909090909090909808e-02
7.2238465893804252322784890450271e-02	7.6923076923076923076923076923684e-02
6.8455336332388959136428519685069e-02	6.6666666666666666666666666667403e-02
5.8140582812125285121171142752293e-02	5.8823529411764705882352941175728e-02
5.2892340376321654434173720165795e-02	5.2631578947368421052631578947451e-02
4.7519484164356384483757502791776e-02	4.7619047619047619047619047618447e-02
4.3516276006810961497506028579626e-02	4.3478260869565217391304347826018e-02
3.9985485129415261341268449168508e-02	4.0000000000000000000000000000757e-02
3.7042579078533028161279992810585e-02	3.7037037037037037037037037037095e-02
3.4480642568482094924975573627984e-02	3.4482758620689655172413793103557e-02
3.225887246333555526163183629486e-02	3.2258064516129032258064516129796e-02
3.0302721814096903338031871695976e-02	3.0303030303030303030303030303795e-02
2.8571546358112233129256780041373e-02	2.8571428571428571428571428571068e-02
2.7026982053929628923128983741179e-02	2.7027027027027027027027027026771e-02
2.5641042812571920301674823990097e-02	2.5641025641025641025641025640702e-02
2.4390237346030445030303724890215e-02	2.4390243902439024390243902439794e-02
2.3255816456844375121364050881277e-02	2.325581395348837209302325581388e-02
2.2222221266395384702310282289642e-02	2.2222222222222222222222222221942e-02
2.1276596109632916298705255211584e-02	2.1276595744680851063829787234479e-02
2.0408163125960788450208958612113e-02	2.0408163265306122448979591837153e-02
1.9607843190459484033042191868294e-02	1.9607843137254901960784313725243e-02
1.8867924507987410001227094899785e-02	1.886792452830188679245283018853e-02
1.8181818189574618411195280749194e-02	1.8181818181818181818181818182593e-02
1.7543859646161258500211446671643e-02	1.754385964912280701754385964915e-02
1.6949152543503654426186397438092e-02	1.6949152542372881355932203390499e-02
1.6393442622519069954397727999717e-02	1.6393442622950819672131147541604e-02
1.5873015873180722908098503334235e-02	1.5873015873015873015873015872816e-02
1.538461538455244192926215654567e-02	1.5384615384615384615384615384421e-02
1.492537313435239087092925360296e-02	1.4925373134328358208955223880621e-02
1.4492753623179229689802274340341e-02	1.4492753623188405797101449275865e-02
1.4084507042257024731365702779211e-02	1.4084507042253521126760563380059e-02
1.3698630136984963629922869893672e-02	1.3698630136986301369863013698609e-02
1.3333333333333844106765023751397e-02	1.3333333333333333333333333334112e-02
1.298701298701279199040400615894e-02	1.2987012987012987012987012987566e-02
1.2658227848101340285952861418366e-02	1.2658227848101265822784810126223e-02
1.2345679012345650580954256601131e-02	1.2345679012345679012345679012891e-02
1.2048192771084348205019729616589e-02	1.2048192771084337349397590361161e-02
1.1764705882352937031596785837215e-02	1.1764705882352941176470588235146e-02
1.1494252873563219973392500970015e-02	1.1494252873563218390804597701712e-02
1.1235955056179774676638763023005e-02	1.1235955056179775280898876404477e-02
1.0989010989010989241704616799609e-02	1.0989010989010989010989010988872e-02
1.0752688172043010664601714228131e-02	1.0752688172043010752688172043791e-02
1.0526315789473684244146348760663e-02	1.0526315789473684210526315789175e-02
1.0309278350515463904723023847402e-02	1.0309278350515463917525773195746e-02
1.0101010101010101014900309807539e-02	1.0101010101010101010101010100739e-02
9.9009900990099009884997048916722e-03	9.9009900990099009900990099017711e-03
